Customer_ID,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary
15634602,Hargrave,619,FRA,Female,42,2,"€ 101,348.88"
15647311,Hill,608,Spain,Female,41,1,"€ 112,542.58"
15619304,Onio,502,French,Female,42,8,"€ 113,931.57"
15701354,Boni,699,FRA,Female,39,1,"€ 93,826.63"
15737888,Mitchell,850,Spain,Female,43,2,"€ 79,084.10"
15574012,Chu,645,Spain,Male,44,8,"€ 149,756.71"
15592531,Bartlett,822,France,Male,50,7,"€ 10,062.80"
15656148,Obinna,376,Germany,Female,29,4,"€ 119,346.88"
15792365,He,501,French,Male,44,4,"€ 74,940.50"
15592389,H?,684,France,Male,27,2,"€ 71,725.73"
15767821,Bearce,528,French,Male,31,6,"€ 80,181.12"
15737173,Andrews,497,Spain,Male,24,3,"€ 76,390.01"
15632264,Kay,476,FRA,Female,34,10,"€ 26,260.98"
15691483,Chin,549,France,Female,25,5,"€ 190,857.79"
15600882,Scott,635,Spain,Female,35,7,"€ 65,951.65"
15643966,Goforth,616,Germany,Male,45,3,"€ 64,327.26"
15737452,Romeo,653,Germany,Male,58,1,"€ 5,097.67"
15788218,Henderson,549,Spain,Female,24,9,"€ 14,406.41"
15661507,Muldrow,587,Spain,Male,45,6,"€ 158,684.81"
15568982,Hao,726,French,Female,24,6,"€ 54,724.03"
15577657,McDonald,732,French,Male,41,8,"€ 170,886.17"
15597945,Dellucci,636,Spain,Female,32,8,"€ 138,555.46"
15699309,Gerasimov,510,Spain,Female,38,4,"€ 118,913.53"
15725737,Mosman,669,France,Male,46,3,"€ 8,487.75"
15625047,Yen,846,FRA,Female,38,5,"€ 187,616.16"
15738191,Maclean,577,France,Male,25,3,"€ 124,508.29"
15736816,Young,756,Germany,Male,36,2,"€ 170,041.95"
15700772,Nebechi,571,FRA,Male,44,9,"€ 38,433.35"
15728693,,574,Germany,Female,,3,"-€ 999,999"
15656300,Lucciano,411,French,Male,29,0,"€ 53,483.21"
15589475,Azikiwe,591,Spain,Female,39,3,"€ 140,469.38"
15706552,Odinakachukwu,533,France,Male,36,7,"€ 156,731.91"
15750181,Sanderson,553,Germany,Male,41,9,"€ 81,898.81"
15659428,Maggard,520,Spain,Female,42,6,"€ 34,410.55"
15732963,Clements,722,Spain,Female,29,9,"€ 142,033.07"
15794171,Lombardo,475,France,Female,45,0,"€ 27,822.99"
15788448,Watson,490,Spain,Male,31,3,"€ 114,066.77"
15729599,Lorenzo,804,Spain,Male,33,7,"€ 98,453.45"
15717426,Armstrong,850,French,Male,36,7,"€ 40,812.90"
15585768,Cameron,582,Germany,Male,41,6,"€ 178,074.04"
15619360,Hsiao,472,Spain,Male,40,4,"€ 70,154.22"
15738148,Clarke,465,FRA,Female,51,8,"€ 181,297.65"
15687946,Osborne,556,FRA,Female,61,2,"€ 94,153.83"
15755196,Lavine,834,FRA,Female,49,2,"€ 194,365.76"
15684171,Bianchi,660,Spain,Female,61,5,"€ 158,338.39"
15754849,Tyler,776,Germany,Female,32,4,"€ 126,517.46"
15602280,Martin,829,Germany,Female,27,9,"€ 119,708.21"
